code,funding,fundpop,fundeq,fundpov,fundter,pop,popurb,cases,shp2,dep,mun,area,party,trfpop,dens,infpop,quintile,grp,agr
0601,1529486.4100000001,792517.4013041861,182919.8454961832,448129.632370914,105919.5255626571,71541,68.7,795,241,Sonsonate,Sonsonate,232.53,ARENA,21.379158943822425,0.3076635272868017,11.112508910974126,5,3,2
0602,1740771.96,927217.403139137,182919.8454961832,550510.655897871,80124.0472445335,70959,56.1,264,231,Sonsonate,Izalco,175.9,ARENA,24.53208134274722,0.4034053439454235,3.720458292816979,5,2,3
0603,1711256.5,971690.5531833931,182919.8454961832,480762.836576586,75883.2563591066,52359,48.2,304,227,Sonsonate,Acajutla,166.59,ARENA,32.683139479363625,0.314298577345579,5.806069634637789,5,2,3
0604,1065723.1500000001,647087.190723356,182919.8454961832,205816.4960915469,29899.6156948902,34912,68.7,119,228,Sonsonate,Armenia,65.64,ARENA,30.52598390238314,0.5318708104814137,3.408570119156737,5,2,3
0605,1461125.51,816739.358302245,182919.8454961832,445332.17404976103,16134.12825583501,49081,70.7,210,234,Sonsonate,Nahulingo,35.42,ARENA,29.76967686069966,1.3856860530773574,4.278641429473727,5,2,3
0606,1072775.43,639505.728019715,182919.8454961832,203405.0866530242,46944.7673417944,24465,56.4,153,232,Sonsonate,Juayúa,103.06,PCN,43.84939423666462,0.23738598874442074,6.253832004904966,5,2,3
0607,797685.49,419456.54918010405,182919.8454961832,158121.3711515903,37187.7628234435,18648,50.7,62,237,Sonsonate,San Julián,81.64,FMLN,42.775927177177174,0.2284174424301813,3.3247533247533245,4,2,3
0608,678505.52,413770.45215237304,182919.8454961832,77988.94860311839,3826.27824249052,25005,100,279,242,Sonsonate,Sonzacate,8.4,FMLN,27.134793841231755,2.976785714285714,11.157768446310738,3,3,2
0609,890396.19,542624.707861442,182919.8454961832,153413.798508166,11437.83567487344,26902,74.3,196,236,Sonsonate,San Antonio del Monte,25.11,GANA,33.09776931083191,1.0713659896455594,7.2857036651550064,4,2,3
0610,615976.91,321872.413206574,182919.8454961832,95551.59060698279,15633.07539074696,10417,68.4,41,233,Sonsonate,Nahuizalco,34.32,FMLN,59.13189113948354,0.30352564102564106,3.935874052030335,3,2,3
0611,664508.62,314814.04371814796,182919.8454961832,133508.89880595158,33265.830124890796,12676,23.7,34,230,Sonsonate,Cuisnahuat,73.03,PCN,52.4225796781319,0.17357250445022593,2.682234143262859,3,2,3
0612,544147.22,259203.074890182,182919.8454961832,87939.9548763054,14084.345625929382,10076,42.5,37,238,Sonsonate,Santa Catarina Masahuat,30.92,PDC,54.00428940055577,0.3258732212160414,3.6720921000396984,3,2,3
0613,520272.57999999996,227206.0569205124,182919.8454961832,86719.8543778414,23426.837501343718,9139,17.6,33,229,Sonsonate,Caluco,51.43,PCN,56.92883028777765,0.17769784172661873,3.610898347740453,2,2,3
0614,635682.03,305670.099202824,182919.8454961832,103704.85163567969,43387.2439996692,10241,7.9,37,239,Sonsonate,Santa Isabel Ishuatán,95.25,ARENA,62.0722614979006,0.10751706036745406,3.6129284249585005,3,2,3
0615,370727.08999999997,138280.14033389228,182919.8454961832,41050.0799937766,8477.019653898631,5484,36.8,55,235,Sonsonate,Salcoatitán,18.61,FMLN,67.60158460977388,0.2946802794196669,10.029175784099198,1,2,3
0616,480867.23,212973.8347662749,182919.8454961832,72255.7384804658,12717.81053932562,7055,32.3,21,240,Sonsonate,Santo Domingo,27.92,FMLN,68.15977746279235,0.2526862464183381,2.97661233167966,2,2,3
0701,1391923.0499999998,877441.993686107,182919.8454961832,265794.80995759903,65766.4046012834,34045,38,690,122,La Unión,Intipucá,94.49,PCN,40.884800998678216,0.360302677532014,20.267293288294905,5,1,1
0702,1126833.73,671706.5510082999,182919.8454961832,213647.0856661046,58560.2455779263,27693,49.3,577,130,La Unión,Santa Rosa de Lima,128.56,ARENA,40.69020077275846,0.215409147479776,20.835590221355577,5,1,1
0703,1118788.35,584478.992912639,182919.8454961832,216886.78240877937,134502.7294574523,16375,21.7,153,126,La Unión,Pasaquina,295.23,ARENA,68.32295267175573,0.055465230498255594,9.343511450381678,5,2,3
0704,1146748.22,619370.018150903,182919.8454961832,229834.0407561165,114624.311064323,17598,16.9,100,128,La Unión,San Alejo,251.64,ARENA,65.16355381293329,0.06993323795898904,5.682463916354131,5,2,3
0705,877506.8999999999,468705.466500937,182919.8454961832,176686.60338795878,49194.9831177352,14551,18.8,72,NA,La Unión,Meanguera del Golfo,25.13,ARENA,60.3056078620026,0.5790290489454835,4.948113531716034,4,2,3
0706,861545.3500000001,474208.14201164397,182919.8454961832,156415.81489399722,48001.548475434596,12324,45.6,61,119,La Unión,Conchagua,200.64,ARENA,69.90793167802663,0.06142344497607656,4.949691658552418,4,2,3
0707,1502830.8900000001,792534.385889096,182919.8454961832,432134.263144298,95242.3934193264,37362,12.4,264,118,La Unión,Concepción de Oriente,68.77,FMLN,40.22351292757347,0.543289224952741,7.066002890637546,5,2,3
