"CODIGO";"NOMBRE"
"370233";"Venta de frutas y verduras"
"370234";"Venta al por mayor de abarrotes (vinos, licores, productos alimenticios envasados, etc.)"
"370235";"Venta al por mayor de aguas gaseosas"
"370236";"Venta al por mayor de agua purificada"
"370237";"Venta al por mayor de refrescos y otras bebidas, líquidas o en polvo"
"370238";"Venta al por mayor de cerveza y licores"
"370239";"Venta al por mayor de hielo "
"370240";"Venta al por mayor de hilados, tejidos y productos textiles de mercería"
"370241";"Venta al por mayor de artículos textiles excepto confecciones para el hogar"
"370242";"Venta al por mayor de confecciones textiles para el hogar"
"370243";"Venta al por mayor de prendas de vestir y accesorios de vestir"
"370244";"Venta al por mayor de ropa usada"
"370245";"Venta al por mayor de calzado"
"370246";"Venta al por mayor de artículos de marroquinería y talabartería"
"370247";"Venta al por mayor de artículos de peletería"
"370248";"Venta al por mayor de otros artículos textiles n.c.p."
"370249";"Venta de productos de peletería, marroquinería, talabartería y guarnicionería"
"370250";"Venta al por mayor de instrumentos musicales"
"370251";"Venta al por mayor de colchones, almohadas, cojines, etc."
"370252";"Venta al por mayor de artículos de aluminio para el hogar y para otros usos"
"370253";"Venta al por mayor de depósitos y otros artículos plásticos para el hogar y otros usos, incluyendo los desechables de durapax  y no desechables"
"370254";"Venta al por mayor de cámaras fotográficas, accesorios y materiales"
"370255";"Venta de instrumentos musicales y de equipos y aparatos conexos"
"370256";"Venta al por mayor de medicamentos, artículos y otros productos de uso veterinario"
"370257";"Venta al por mayor de productos y artículos de belleza  y de  uso personal"
"370258";"Venta de productos farmacéuticos y medicinales"
"370259";"Venta de relojería, relojes y joyería"
"370260";"Venta al por mayor de productos medicinales, cosméticos, perfumería y productos de limpieza"
"370261";"Venta al por mayor de relojes y artículos de joyería"
"370262";"Venta al por mayor de electrodomésticos y artículos del hogar excepto bazar;  artículos de iluminación"
"370263";"Venta al por mayor de artículos de bazar y similares"
"370264";"Venta al por mayor de artículos de óptica"
"370265";"Venta al por mayor de revistas, periódicos, libros, artículos de librería y artículos de papel y cartón en general"
"370266";"Venta de artículos deportivos, juguetes y rodados"
"370267";"Venta al por mayor de productos usados para el hogar o el uso personal"
"370268";"Venta al por mayor de enseres domésticos y de uso personal n.c.p."
"370269";"Venta al por mayor de bicicletas, partes, accesorios y otros"
"370270";"Venta al por mayor de computadoras, equipo periférico y programas informáticos "
"370271";"Venta de Maquinaria y Equipo de Oficina, Computadoras y sus componentes; incluye software"
"370272";"Venta al por mayor de equipos de comunicación"
"370273";"Venta al por mayor de maquinaria y equipo agropecuario, accesorios, partes y suministros"
"370274";"Venta de equipos e instrumentos de uso profesional y cientÍfico y aparatos de medida y control"
